uid,title,category,description,full_url
857395621241,«Столото» — навык для проверки лотерейных билетов в Алисе,Голосовые,"Разработали навык для голосового помощника Алиса, который помогает покупать и проверять лотерейные билеты Столото, а также отвечать на вопросы пользователей.",https://eora.ru/cases/stoloto-navyk-dlya-proverki-loterejnyh-biletov
509133741541,«Додо Пицца» – пилотный проект по автоматизации контакт-центра,Контакт-центры,"Пилотный проект для Додо Пиццы, где мы автоматизировали часть звонков в контакт-центр с помощью голосового бота, которого научили распознавать речь клиентов.",https://eora.ru/cases/dodo-pizza-pilot-po-avtomatizacii-kontakt-centra
611249417661,"LORA — умный интерактивный ассистент, она может развлечь детей в офисе продаж и онлайн, пока взрослые заняты покупкой",Виртуальные,"Кейс для компании Glorax, где мы создали умного ассистента, который может развлечь детей в офисе продаж, пока взрослые заняты выбором покупкой жилья.",https://eora.ru/cases/glorax-umniy-interaktivniy-assistent-lora
640775741251,KazanExpress – поиск товаров по фотографиям,Поиск,"Разработка для маркетплейса KazanExpress, где мы научили нейросеть искать товары по фото или предлагать похожие, которые могут понравиться пользователю.",https://eora.ru/cases/kazanexpress-poisk-tovarov-po-foto
495832592331,Гардиум – нейросетевой поиск похожих товарных знаков,Поиск,"Разработка для патентно-адвокатского бюро «Гардиум» – сервис для поиска похожих товарных знаков, который помогает бороться с плагиатом и патентными троллями.",https://eora.ru/cases/gardium-neyrosetevoy-poisk-tovarnykh-znakov
929451531181,Нейросетевой поиск похожих изображений для ReRooms,Поиск,"Кейс для интернет-магазина мебели ReRooms, где мы разработали нейросеть для удобного поиска товаров на основе технологии компьютерного зрения.",https://eora.ru/cases/rerooms-neyrosetevoy-poisk-pohozhih-izobrazhenij
954466501201,Улучшенная система поиска по фото для маркетплейса КазаньЭкспресс,Поиск,В 2020 году EORA внедрила на сайт KazanExpress собственную систему поиска похожих изображений. В 2021 мы повысили точность поиска с помощью расширенной базы снимков товаров: от магазинов и от пользователей.,https://eora.ru/cases/kazanexpress-uluchshennaya-sistema-poiska-po-foto-dlya-marketpleysa
842367534561,Faberlic – Навык для Алисы с FAQ по продукции компании «Фаберлик»,Голосовые,"Разработали для компании Faberlic навык для голосового ассистента Алиса, который консультирует по продукции, привлекает новых клиентов и просто шутит шутки.",https://eora.ru/cases/faberlic-navyk-dlya-alyci
941270873021,Karcher - навык-викторина с вопросами про уборку для Алисы,Голосовые,"Разработка для компании Karcher, где мы сами разработали и прописали викторину для голосового помощника Алисы, пройдя которую можно получить промокод на скидку.",https://eora.ru/cases/karcher-viktorina-s-voprosami-pro-uborku
996605272581,INTELSONLINE – визуальный поиск похожих товарных знаков,Поиск,"Кейс для крупного патентного бюро IntelsOnline, где мы обучили нейросеть проверять логотип пользователя на сходство с существующей базой товарных знаков.",https://eora.ru/cases/intels-proverka-logotipa-na-plagiat
296691354921,Голосовое управление для вытяжек Elica,Голосовые,"Кейс для Elica, где мы создали голосовое управление для кухонных вытяжек и подключили их к системе «умного дома» в Алисе.",https://eora.ru/cases/elica-golosovoe-upravlenie-dlya-vityazhek
801486970951,iFarm – оценка массы растений по фото,Зрение,"Кейс для российского IT-стартапа iFarm, где мы научили нейросеть различать на фото салат романо и определять его вес для контроля за посадками в режиме 24/7.",https://eora.ru/cases/ifarm-nejroset-dlya-ferm
383560681791,Пожалуйся Великому Новгороду - полезный навык для недовольных горожан,Голосовые,"Кейс для правительства Новгородской области, где мы научили Алису писать обращения в мэрию и добиваться улучшения городской инфраструктуры.",https://eora.ru/cases/navyk-dlya-zhitelej-velikogo-novgoroda
298967473841,WhatsApp-бот для бесконтактной покупки в вендинговых аппаратах,Чат-бот,"Рассказали, как мы создали бота для Watsapp, через которого можно самому купить еду в офисе без участия продавца.",https://eora.ru/cases/workeat-whatsapp-bot
663209542721,«Живи без страха» – навык для проверки родинок в ассистенте Алиса,Голосовые,"Разработали навык для Алисы, который позволяет проверить свою родинку и предлагает записаться к врачу. Мы принимали участие на благотворительных началах.",https://eora.ru/cases/navyki-dlya-golosovyh-assistentov/navyk-dlya-proverki-rodinok
233760586091,Приложение Giftery для сервисов экосистемы Сбер,Голосовые,"Кейс для сервиса GIFTERY, где мы разработали удобный разговорный бот, который показывает ассортимент, принимает заказ и оплату, а также помогает с доставкой.",https://eora.ru/cases/giftery-prilozhenie-dlya-servisov-ecosystemy-sber-bileta-cherez-sbersalute
785150974161,Говорящий карась – голосовой ассистент в обличье карася,Голосовые,"Рассказали, как мы работали над одним из первых голосовых ассистентов в России – говорящим Карасем, который говорил голосом Левитана и имел сворливый характер.",https://eora.ru/cases/karas-golosovoy-assistent
171346346481,SportRecs – нейросеть-оператор спортивных трансляций,Зрение,"Кейс для российского стартапа Sportrecs.com, где мы автоматизировали трансляцию матча, используя камеры с ИИ-управлением.",https://eora.ru/cases/sportrecs-nejroset-operator-sportivnyh-translyacij
668354764341,«Фрисби». Нейросеть для распознавания показаний счетчиков,Зрение,"Вместо дорогого переоборудования команда EORA интегрировала в мобильное приложение компании нейросеть, которая умеет распознавать показания счетчиков по фото.",https://eora.ru/cases/frisbi-nejroset-dlya-raspoznavaniya-pokazanij-schetchikov
951838257611,COTY – парфюмерный консультант в Алисе,Голосовые,"Кейс для дистрибьютора Coty, где мы упростили поиск товаров в интернет-магазине и разработали навык «Парфюмерный консультант» для Алисы.",https://eora.ru/cases/coty-parfyumernyj-consultant
457035458931,Промышленная безопасность: система для проверки на производствах,Промышленность,Мы автоматизировали контроль через системы распознавания инцидентов по видео в режиме реального времени и с помощью интерфейса для управления нарушениями.,https://eora.ru/cases/promyshlennaya-bezopasnost
100145364401,Производственная безопасность: система для проверки фазы работы со станком,Промышленность,"Кейс, где автоматизировали наблюдение за соблюдением правил безопасности работы сотрудника за станком с помощью нейросетей.",https://eora.ru/cases/systema-dlya-proverki-fazy-raboty-so-stankom
268397445501,"Бот, который по фотографии считает разные типы труб",Промышленность,"Разработали простого бота в Телеграм для быстрого подсчета труб, бревен, свай, балок и других предметов. Просто загрузите фото и получите число.",https://eora.ru/cases/podschet-trub-po-photo
962038066121,Сервис для оцифровки показаний приборов,Промышленность,"Кейс, где мы создали сервис на основе технологии компьютерного зрения, который «переводит» данные счетчиков, рычагов, переключателей в цифровой вид.",https://eora.ru/cases/ocifrovka-pokazaniy-priborov
245156880201,Чат-бот с компьютерным зрением для подбора обоев,Зрение,"Разработка для Леруа Мерлен, где мы создали чат-бот с технологией компьютерного зрения, чтобы клиент мог выбрать обои без помощи консультанта.",https://eora.ru/cases/leroy-merlin-podbor-oboev
420280738011,«Абсолют Страхование» – навык для Алисы,Голосовые,"Виджет, который помогает ответить на общие вопросы о компании и услугах, а также рассчитать стоимость полиса для выезда зарубеж",https://eora.ru/cases/absolyut-strahovanie-navyk-dlya-raschyota-strahovki
611998275791,«Сказки для Алёши» – навык со сказками для Google Assistant,Голосовые,"Разработали для крупного российского бренда детского питания навык для голосового ассистента Google, который рассказывает популярные детские аудио-сказки.",https://eora.ru/cases/skazki-dlya-gugl-assistenta
851076934991,Spark Logistics – Система сбора и управления данными о грузоперевозках,Промышленность,"Кейс для Spark Logistics, в котором мы разработали систему для сбора данных о грузоперевозках и анализа их по параметрам с простым и удобным интерфейсом.",https://eora.ru/cases/spark-sistema-sbora-dannyh
149863200961,Система трекинга пузырьков в промышленной смеси,Промышленность,"Кейс, где мы разработали программу трекинга пузырей на основе технологии компьютерного зрения для одной из крупнейших в России горно-металлургических компаний.",https://eora.ru/cases/flotaciya-sistema-trekinga-puzirkov-v-promyshlennoy-smesi
101656753151,Определение размера гранул горной породы в ковше и на конвейере,Промышленность,"Кейс, где мы осуществили распознавание гранул породы после взрывных работ с помощью алгоритмов компьютерного зрения.",https://eora.ru/cases/granulometriya-opredelenie-razmera-granul-gornoy-porody
859093880471,ISS – поиск посторонних предметов на днище автомобиля,Зрение,"Разработали программное обеспечение для автомобильных стендов, которое самостоятельно фотографирует, анализирует и находит аномалии на днище машины.",https://eora.ru/cases/iss-analiz-foto-avtomobilej
157464743111,Ассистенты городов – Каждому городу по голосовому помощнику,Голосовые,"Рассказали, как мы придумали Ассистентов для городов – проект EORA, который позволяет обновить и улучшить информационную инфраструктуру города или региона.",https://eora.ru/cases/assistenty-dlya-gorodov
119878219581,Химрар – система распознавания рукописных химических схем,Промышленность,"Кейс для российской фармацевтической компании «Химрар», где мы создали чат-бот, который умеет распознавать рукописные химические схемы.",https://eora.ru/cases/chemrar-raspoznovanie-molekul
794523210281,KazanExpress – рекомендательная система для сайта,Зрение,"Кейс, где мы разработали систему персональных рекомендаций для KazanExpress, которая предлагает похожий товар клиенту и увеличивает количество покупок.",https://eora.ru/cases/kazanexpress-sistema-rekomendacij-na-sajte
688316798421,Shopotok – ИИ-поиск товаров в мобильных видео,Поиск,"Рассказали, как мы придумали и реализовали Shopotok – интегрируемый ИИ-модуль для маркетплейсов, который ищет товары из видео в сервисах TikTok, YouTube, Reels.",https://eora.ru/cases/shopotok-poisk-tovarov-v-video
517113028391,"Нейросеть для сегментации человека на видео, адаптированная под разные устройства",Зрение,"Кейс для популярного приложения обработки фото и видео, где мы обучили нейросеть сегментировать кадры мобильного видео и находить на них силуэт человека",https://eora.ru/cases/nejroset-segmentaciya-video
508669672381,QIWI – поиск аномалий в транзакциях,Зрение,"Мы проанализировали данные о транзакциях платежной системы QIWI и выявили основные признаки аномалий, из-за которых не проходят платежи у клиентов.",https://eora.ru/cases/qiwi-poisk-anomalij
699737342111,"Goose Gaming – алгоритмы для оценки игроков в Counter Strike, Dota 2, World of Tanks",Зрение,"Разработали единый алгоритм оценки игроков для Goose Gaming, который определяет сильнейших игроков по количеству заработанных очков и учитывает сложность игры.",https://eora.ru/cases/goosegaming-algoritm-dlya-ocenki-igrokov
906099806091,SkinClub – подбор оптимальных вероятностей выпадения предметов из лутбоксов,Зрение,"Разработали для клиентов из Шотландии модель, которая автоматически подбирает коэффициенты вероятности выпадения различных призов из виртуального контейнера.",https://eora.ru/cases/skinclub-algoritm-dlya-ocenki-veroyatnostej
397636934681,Purina – навык-викторина для голосового ассистента Алиса,Голосовые,"Кейс для Purina, где мы внедрили викторину о кошках в навык для Алисы. Пользователь правильно отвечал на вопросы и получал промокод на скидку на корм.",https://eora.ru/cases/purina-navyk-viktorina
813684971831,Zeptolab – сказки про Ам Няма для платформы Sberbox,Голосовые,"Рассказали, как создали приложение со сказками и интерактивными элементами для ТВ-приставки SberBox и колонки Sberportal, которое поможет ребенку быстрее уснуть.",https://eora.ru/cases/zeptolab-skazki-pro-amnyama-dlya-sberbox
477306708921,Справочный бот ассистент для Neti,Чат-бот,"В EORA разработали бота, через которого можно удобно искать информацию в внутренней базе знаний, общаясь с ним на естественном языке",https://eora.ru/cases/chat-boty/spravochnyj-bot-assistent-dlya-neti
251131313871,«Чистая Москва»: навык Алисы для сортировки мусора,Голосовые,"Навык ""Чистая Москва"" от EORA информирует о раздельном сборе мусора, указывает ближайшие площадки и рассказывает сказки, озвученные Николаем Дроздовым.",https://eora.ru/cases/navyki-dlya-golosovyh-assistentov/chistaya-moskva-v-alise
142242696891,Теперь заказать еду через бота намного удобнее – EORA для WorkEat,Чат-бот,"Кейс для компании «WorkEat», где мы разработали Telegram-бота с технологией WebApps для упрощения поиска и покупки еды",https://eora.ru/cases/chat-boty/workeat-v-telegram-webapps
161348687311,«Додо Пицца» - рабочий проект автоматизации контакт-центра,Контакт-центры,"Кейс для Додо Пиццы, где мы расширили функционал голосового бота, который разгружает контакт-центр и самостоятельно отвечает на звонки клиентов.",https://eora.ru/cases/dodo-pizza-avtomatizaciya-kontakt-centra
795172387851,Теперь найти сотрудника на позицию продавца проще – EORA для Магнита,Чат-бот,"Кейс для компании «Магнит», где мы разработали HR бота для упрощения найма сотрудников. Для записи на собеседование кандидату достаточно просто написать боту.",https://eora.ru/cases/chat-boty/hr-bot-dlya-magnit-kotoriy-priglashaet-na-sobesedovanie
273662637001,Purina – универсальный бот для промо-кампаний,Чат-бот,"Универсальный бот для сайтов Purina, которого можно постоянно обучать",https://eora.ru/cases/purina-master-bot
967042174991,Виртуальный помощник в кофейне One&amp;Double,Виртуальные,"Мы в EORA создали анимированного ассистента для кофеен One&Double. Бот помогает посетителям в выборе заказа, отвечает на вопросы, рассказывает об акциях и поддерживает диалог на простые темы.",https://eora.ru/cases/one-animirovanniy-pomoshnik-v-kofeyne
506395120011,«Сколково» – чат-бот для знакомства инвесторов и основателей стартапов,Чат-бот,"Кейс для Сколково, где мы разработали простой инструмент для знакомства разработчиков, инвесторов и предпринимателей, а также приглашения их в технопарк",https://eora.ru/cases/skolkovo-chat-bot-dlya-startapov-i-investorov
833567194861,«Столото» — диалоговое приложение для покупки и проверки билета через СберСалют,Голосовые,"Кейс для Столото, где мы интегрировали покупку и проверку лотерейного билета в СберСалют через разработку приложения в формате Chat App.",https://eora.ru/cases/stoloto-sbersalute-dialogovoe-prilozhenie-dlya-pokupki-i-proverki-bileta
